"year","total_production"
1909,27678000
1910,26971000
1911,30431000
1912,29876000
1913,26582000
1914,36043000
1915,42625000
1916,66491000
1917,99817000
1918,77023000
1919,71904000
1920,36525000
1921,39534000
1922,59171000
1923,67972000
1924,68278000
1925,76113000
1926,66175000
1927,71447000
1928,96907000
1929,102640000
1930,82486000
1931,49653000
1932,41904000
1933,58304000
1934,59581000
1935,66961000
1936,80423000
1937,7.7e+07
1938,68059000
1939,75518000
1940,82886000
1941,113341000
1942,127180000
1943,157879000
1944,124478000
1945,102183000
1946,185658000
1947,215649000
1948,191209000
1949,170681000
1950,142046000
1951,156766000
1952,159098000
1953,167591000
1954,170134000
1955,150204000
1956,153427000
1957,143578000
1958,167894000
1959,165213000
1960,159065000
1961,175409000
1962,157662000
1963,179659000
1964,166324000
1965,175648000
1966,182998000
1967,171367000
1968,177509000
1969,181632000
1970,195062000
1971,205764000
1972,234241000
1973,477395000
1974,442944000
1975,385753000
1976,312502000
1977,366868000
1978,365281000
1979,509050000
1980,790838000
1981,753923000
1982,414875000
1983,378860000
1984,437090000
1985,436049000
1986,483251000
1987,480320000
1988,613606000
1989,724058000
1990,658898000
1991,595815000
1992,502235000
1993,581633000
1994,688652000
1995,694525000
1996,707560000
1997,1020379448
1998,1218635890
1999,1242669220
2000,1089060520
2001,1066522600
2002,1259013427
2003,1060599400
2004,1075685945
2005,1152805975
2006,1232460607
2007,1575698893
2008,1703838189
2009,1490160480
2010,1634890340
2011,1549743059
2012,2611997073
2013,1903199390
2014,1804176938
2015,1723773352
2016,1870876854
2017,2249893836
2018,1864869763
2019,1403336343
2020,1765003404
2021,1628224659
2022,2243613448
2023,1848949786
2024,89496000
